ingridientID,ingridientCatID,ingridientName,price
1,1,¥ÕÅÚ½³,20
2,1,µ·¥Ê,20
3,1,¬î¸ª,25
5,1,°ªÄRµæ,20
6,1,ªá·¦µæ,25
7,1,¤j³°©f,20
8,1,¥É¦Ìµ«,20
9,1,¤p¥Õµæ,20
10,1,¤ô½¬,20
12,1,ªÅ¤ßµæ,20
13,1,¦a¥Ê¸­,20
14,1,«C¦¿µæ,20
15,1,ª÷°wÛ£,25
22,1,¨q¬ÃÛ£,25
23,1,­»Û£,25
24,1,§öÀjÛ£,25
25,1,¤ì¦Õ,25
26,1,«½«½µæ,20
28,1,Ó¦»U,20
29,1,¤sÓ¦»U,20
30,2,Âû³J,15
31,2,½¼¤l,30
32,2,³½¤ù,35
34,2,¾{³½°é,35
35,2,·ÏÂt½Þ¦Õµ·,35
36,2,¤j¸zÀY,35
37,2,½Þ¸x¦×,35
41,2,Àn¸z,35
42,2,½Þ¦×¤ù,40
44,2,¤û¤­ªá¦×¤ù,50
45,2,¦Ï¦×¤ù,50
46,2,¤û¨{,50
47,2,ÀnÐe,30
48,2,½Þ¯ÜºÞ,35
49,3,¥Õ¶º,20
50,3,¤ý¤lÄÑ,20
51,3,¬ì¾ÇÄÑ,20
52,3,Áç¿N·NÄÑ,20
53,3,¥V¯»,20
54,3,¼e¥V¯»,20
55,3,Âûµ·ÄÑ,20
56,3,»]µNÄÑ,30
57,3,¯QÀsÄÑ,35
58,3,Áú°ê¤£­Ë¯Î©ÔÄÑ,35
59,4,Áç©³Àn¦å,30
60,4,Áç©³ªO¨§»G,25
61,4,¶Â½ü±ø,10
62,4,²¢¤£»¶¤ù,15
63,4,¤j°^¤Y,20
64,4,­ì¨ý¨§¥],15
65,4,·ÏÂt¨§¥],20
66,4,Às½¼´Î,20
67,4,¤j¶Â¨§¤z,25
68,4,¦Ê­¶¨§»G,20
69,4,¶Àª÷³½ªO,20
70,4,³¾³J,20
71,4,³J»å,20
72,4,¼Ó±è,20
73,4,­á¨§»G,20
74,4,²¢¨¡ã_,20
75,4,Âû¦×­»¸z,10
76,4,ã¯ãÀµ·,20
77,4,¦Ì¦å¿|,20
78,4,Àn¦Ì¦å¿|,20
79,4,Áú°ê¦~¿|,20
80,4,¼w¦¡­»¸z,25
81,4,¤j¶Â½ü¤ù,25
82,4,ªø¨§¥Ö,30
83,4,¤p¨§¥Ö,30
84,4,ªá¤z,30
85,4,¦Ñªo±ø,30
86,4,¤û¦×¤Y,30
87,5,­»Û£°^¤Y,10
88,5,³½¥]³J,10
89,5,Às½¼¨F©Ô,10
90,5,³½¨§»G,10
91,5,°_¥q³½¨§»G,10
92,5,¤E¼h¶ðªáªK,10
93,5,ªÛ³Â³Â¦N¿N,10
94,5,ªá¥Í³Â¦N¿N,10
95,5,°_¥qÃz¿@²y,10
96,6,³½»å,5
97,6,ðÃ¨ý´Î,5
98,6,Àn¦×¤Y,5
99,6,ªë¥Ø³½¤Y,5
100,6,øÊøÊ¸z,5
101,6,¯À¸yªá,5
102,6,¿P»å,5
103,6,¶Àª÷³½¤Y,5
104,6,³½§Z±²,5
105,6,¤p¦Ë½ü,5
106,4,°_¥q¤ù,20
109,3,©ÔÄÑ,30
